Taher Zakaria
Naif Mubarak
Waleed Mahboob
Osama Al-Khalaf
Mohammed Al-Qasmah
Mohammed Al-Abdullah
Mousa Al-Aoufi
Wichita State
Fred Dabanka
Salem Abdullah
Mubarak Al-Beloushi
Mustafa Abdi
Jim Kelly (basketball coach)
Idris Al-Shaari
Shami Hassan
Adam Schiff
Khalfan Ibrahim
Rónald Matarrita
Hélder Barbosa
Hussain Ali Shehab
Cameron Wright (rugby union)
Barthelemy Leroy
Abdurahman Al-Saeed
Ahmed Abdoh Jaber
Kyle Bekker
Mutaeb Al-Najrani
Jess Fishlock
Abdullah Kazim
Yahya Al-Shehri
Majed Al-Atwi
Bjoern Einar Romoeren
John Benson (footballer, born 1991)
Ibrahim Bidhi
Nasser Sherian
Ibrahim Al-Shahwan
Ahmed Al-Khater
Kaled Gourmi
Lorenzo Hernandez
Shalva Mamukashvili
Zaid Ahmed
Adnan Al-Jasmi
EA Sports F1 series
Moataz Ali Saeed
Anthony Jackson-Hamel
Jassem Al-Hashemi
Fares Al-Ruwailli
Lee Seok-hyun
Mahmoud Qassem
Saad Al Dossari
Kristina Šmigun-Vähi
Abdulaziz Al-Bahrani
Abdulrahman Al-Barakah
Marko Došen
Tiago Alexandre Isidoro Palmela
Abdulhadi Nuaman
Conor Bready
Dragos Grigore
Andre Kiesewetter
Alaska-Anchorage Seawolves
Ann Cook (soccer)
Krista Pärmäkoski
Abdulfattah Asiri
Khalil Khamis
Adrian Mierzejewski
Humod Baker
Muhammad Firdaus Saiyadi
Paul Andrews
Khaled Al-Ansari
Sultan Tamihi
Waleed Al-Mosaabi
Yosuke Kawai
Fadi Awad
Børre Næss
Ali Al-Mubarak
Hamood Al Yazidi
Mohammed Abdulrahman
Connor
Rashed Al Hajri
Abdulaziz Takrouni
Riadh Mekideche
Mojahed Abdullah
Mostafa Al-Moeilo
Baker Fallatah
Mohammed Ahmed
Mohammed Jaber (footballer)
Hassan Kadesh
Abdulaziz Adel
Vladimir Smirnov
Yoon Seung-won
Scott McKinlay
Sadeq Al-Ahmed
Tisha Venturini
Hassan Jaafari
Djebril Mohammed
Dame Traoré
Penn
Almass Farid
Abdualziz Al-Harabi
Bruno Lequex
Waheed Mohammed Taher
Ware
Mohammed Al-Saeed
Badr Al-Enezi
Ali Al-Zubaidi
Khaled Al-Sumairi
Marwan Mohammed
Tu Bishvat
Abdulfattah Adam
Omar Yahya
Abdullah Al-Meqbas
Hadi Marzouq
Muhannad Al-Faresi
Radford
Bryce Cregan
Nasser Meftah
Faisal
Salem Saeed
Sultan Masarhi
UNC Asheville
Russia
Ibrahim Saeed (footballer)
Mohamed Ahmed (footballer)
Dawn Greathouse
Khaled Al-Rezzi
Jung Sun-gu
Benfica de Luanda
František Jež
Hans Mild
Mohamad Raphi Azizan Mariappen
Saeed Mustafa
Kim Jung-hyun
Khaled Al-Harbi
Abdullah Al-Nuqbi
Josip Tepavac
Krisztián Németh
Abdullah Hassan
Khalid Al-Ghamdi
Alaa Al Hejji
Meshal Al Hamsal
Thori Staples Bryan
Lars Bystoel
Awadh Khrees
Louisiana Tech
Bryan Mardones
Sultan Al-Sowaidi
Abdulwahab Al-Zahrani
Abdullah Al-Mohammed
Jassem Al-Hamdan
Wesam Wahib
Mohammad Khairul Akmal Rokisham
Murad Naji Hussein
Biddulph Victoria
Mohammed Abdurahman
Indonesia
Salem Al-Dawsari
Rashed Al-Dwesan
Nasser Al-Abdeli
Mohammed Marzooq
Frank Tripp
Tomás Loureiro de Perestrello Hipólito Carreira
Khaled Al-Senani
Yahya Khormi
Lukas Hlava
Stefan Zünd
Kazuya Murata (footballer)
Blackwell Miners Welfare
Abdulaziz Al-Harbi
Mohammed Al-Mohanna
Carlos Eduardo de Oliveira Alves
Park Hee-seong
Fahad Saket
Ahmad Akash
Kimmo Savolainen
Ali Shaaban
Park Chu-young
Habib Fardan
Kempei Usui
Marco Donadel
Meshal Fahad
Khalil Lashkari
Ali Imran Alimi
Hatem Belal
Hussain Al Abbas
PRESTWOOD
Mouhcine Iajour
Abdurahman Mesaad
Mohammed Al-Bladi
UAB
Abdulla Jassem
Ahmed Al-Turki
Fahad Al-Shammeri
Manfred Steiner
Patrick Dixon (soccer)
Julien Malzieu
Abbas Shengeeti
Bernardo Gomes
Josh Saunders
Sanad Ali
Klaus Huber
Romario Williams
Mohamed Yousif
Gene Bartow
Fahad Al-Swilem
Yulia Galysheva
Ryan Wolfe
Muhammad Zuasyraf Zulkiefli
Abdulwahab Jaafer
Ole Gunnar Fidjestoel
Moayad Al-Tolayhi
Mikheil Nariashvili
Abdurahman Al-Amri
Salman Al-Moasher
Mohammed Al-Dhawi
João Guilherme
Majed Abdullah
Patrick Friday Eze
Naif Hazazi
Bury Town
Muhamad Shahrul Hakim Rahim
Ali Al-Muhannadi
Emad Al-Dossari
Yu Sang-hun
Rakan Hawsawi
Fahad Khalfan
Causeway United
Abdullah Al-Yazidi
Saif Al-Sowaidi
Michael Salazar
Humood Al-Qarni
Domingos Nascimento dos Santos Filho
João Lopes David
Mohammed Muddather
Mohammed Al-Moqahwi
Mohammed Al Fatil
Mohammed Ba Adheem
UCF
Kyle Fisher
David García (cyclist)
first
Ali Ferydoon
Saif Hussain
Mesfer Al-Najrani
Hamad Abdullah
Mirghani Al Zain
Abdoh Baker Bernaoy
Mohammed Omar
Tiago Queiroz Bezerra
Ali Ahmed Hazazi
Mohamed Abdel-Shafy
Faisel Masrahi
Abdulla Afifa
Abdullah Mashakel
Emilio Cornago
Dyanfres Douglas Chagas Matos
Matteo Mancosu
Nam Tae-hee
Ryo Takeuchi
Saeed Al-Harbi
Abdulla Al-Zubaidi
Mack Wheeler
Yassin Barnawi
Sultan Faqihi
Suwarnaraj A/L Chinniah
Kim Joo-sung
Sultan Al-Ghanam
Walid Abbas
William Dennis
Sutton Town
Faisel Al-Jamaan
Jung Seong-uk
Azizbek Haydarov
Wilmington Quakers baseball
Belal Yousef
Salem Al-Hajri
Adham Al-Qureishi
Fahad Al-Thunayan
Abdulaziz Al-Khalosi
Abdulkarim Al-Ali
Mohammed Aman (footballer)
Krešimir Kolarić
Pedro Santos
Khalid Alawi
Kamil Stoch
Mostafa Mido
Fahad Al-Shamri
Mohammad Al-Shalhoub
Great Midwest Conference
Ahmed Assiri
Abdulaziz Sharifi
Al Baraa Ba Adheem
João Pedro Vieira da Silva
Julio César de León
Amanda Cromwell
Ultras Guerrils
Abdurahman Al-Rio
Khalil Al-Ali
Capt. Donald Cragen
Ali Mostafa
Salmeen Khamis
Michelle French
Abdulaziz Majrashi
Imad Al-Dossari
Marjo Matikanen Kallstroem
Hamad Al-Juahaim
Takuya Honda
North Notts
Mesaad Al-Hamad
Muhammad Syazwan Zaipol Bahari
Meshal Mubarak
Mohammed Sayyar
Vllaznit Ultras
Roar Ljoekelsoey
German Tersano
Yahya Hassan
Chico Flores
Ahmed Fatehi
Abdurahman Al-Korbi
Abdullah Al-Dera
Connie Rubirosa
Mahmoud Almas
W. Fortuna
Ali Al-Gbarah
Kirkby Town
Othman Al-Yahri
Roompot–Oranje Peloton
Sarhan Mousa
Haziq Nadzli
Kim Ju-yeong (footballer)
Mohammed Naif
Appalachian State Mountaineers baseball
